1.00,0.64,0.28,0.22,0.31,0.49,1.00
1.00,1.00,0.93,0.87,1.00,0.30,0.00
0.46,0.19,0.19,0.31,1.00,0.30,1.00
1.00,0.84,0.98,1.00,1.00,0.40,0.00
1.00,0.27,0.25,0.38,1.00,0.49,1.00
1.00,1.00,1.00,0.84,1.00,0.40,0.00
1.00,1.00,1.00,0.39,0.25,0.30,0.00
0.67,0.24,0.22,0.30,0.97,0.50,1.00
1.00,1.00,1.00,0.87,1.00,0.40,0.00
1.00,1.00,0.55,0.22,0.13,0.33,1.00
0.99,1.00,1.00,1.00,1.00,0.40,0.00
0.34,0.03,0.02,0.05,0.27,0.50,1.00
1.00,1.00,1.00,0.71,1.00,0.80,0.00
1.00,1.00,0.54,0.18,0.07,0.12,1.00
0.38,0.16,0.18,0.32,1.00,0.37,1.00
0.71,1.00,1.00,0.72,1.00,0.50,0.00
0.15,0.12,0.25,0.76,1.00,0.47,1.00
1.00,1.00,1.00,0.49,1.00,0.40,0.00
0.67,1.00,1.00,1.00,0.28,0.40,0.00
0.54,1.00,1.00,0.90,0.39,0.50,0.00
1.00,1.00,1.00,1.00,0.86,0.30,0.00
1.00,1.00,0.53,0.18,0.08,0.12,1.00
1.00,0.86,0.69,0.86,1.00,0.10,0.00
0.41,0.79,1.00,1.00,1.00,1.00,0.00
0.14,0.12,0.24,0.74,1.00,0.40,1.00
1.00,0.91,0.73,0.91,1.00,0.40,0.00
0.81,0.91,0.93,1.00,1.00,0.20,0.00
0.14,0.12,0.23,0.60,1.00,0.49,1.00
0.40,0.54,1.00,1.00,0.80,0.70,0.00
1.00,1.00,1.00,0.93,1.00,0.40,0.00
1.00,0.41,0.26,0.26,0.51,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,0.99,0.23,0.12,0.11,0.65,1.00
1.00,0.31,0.12,0.08,0.12,0.50,1.00
1.00,1.00,1.00,0.85,1.00,0.80,0.00
0.07,0.15,0.47,1.00,1.00,0.76,1.00
1.00,1.00,0.86,0.57,0.58,0.50,0.00
0.83,0.07,0.03,0.03,0.13,0.57,1.00
1.00,1.00,1.00,1.00,0.34,0.60,0.00
1.00,1.00,0.46,0.13,0.03,0.53,1.00
0.05,0.11,0.39,1.00,1.00,0.70,1.00
1.00,0.35,0.13,0.08,0.12,0.50,1.00
1.00,0.99,0.29,0.16,0.14,0.72,1.00
0.80,1.00,1.00,0.46,0.14,0.50,0.00
0.06,0.07,0.19,0.75,1.00,1.00,1.00
0.72,1.00,1.00,0.58,0.22,0.50,0.00
0.41,1.00,1.00,1.00,1.00,0.40,0.00
0.27,0.05,0.06,0.13,0.64,0.40,1.00
0.71,1.00,1.00,0.58,0.22,0.50,0.00
1.00,0.26,0.15,0.14,0.30,0.50,1.00
1.00,0.55,0.26,0.21,0.30,0.13,1.00
1.00,1.00,0.62,0.25,0.18,0.32,1.00
1.00,1.00,1.00,0.15,0.10,0.34,1.00
1.00,1.00,0.20,0.16,0.26,0.24,1.00
1.00,1.00,0.95,0.47,0.37,0.90,0.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
0.74,0.24,0.20,0.27,0.82,0.50,1.00
1.00,0.94,0.85,1.00,1.00,0.40,0.00
0.02,0.29,1.00,1.00,1.00,0.90,1.00
0.30,0.05,0.05,0.10,0.45,0.40,1.00
1.00,0.81,0.73,0.96,1.00,0.50,0.00
1.00,1.00,0.24,0.12,0.11,0.60,1.00
1.00,0.84,0.68,0.84,1.00,0.40,0.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
0.17,0.14,0.27,0.84,1.00,0.70,1.00
1.00,1.00,0.52,0.14,0.03,0.30,1.00
1.00,1.00,0.61,0.67,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.30,0.00
0.32,0.05,0.05,0.10,0.44,0.40,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,0.75,0.40,0.00
1.00,1.00,1.00,0.15,0.10,0.31,1.00
1.00,0.44,0.35,0.46,1.00,0.50,0.00
0.19,0.12,0.15,0.31,1.00,0.54,1.00
0.51,0.23,0.23,0.37,1.00,0.39,1.00
1.00,1.00,1.00,0.17,0.11,0.50,1.00
1.00,0.45,0.15,0.09,0.11,0.40,1.00
0.44,0.50,0.94,1.00,1.00,0.80,0.00
0.90,0.34,0.24,0.27,0.64,0.50,1.00
1.00,1.00,0.69,0.86,1.00,0.20,0.00
0.10,0.13,0.33,1.00,1.00,0.65,1.00
1.00,1.00,0.95,0.57,1.00,0.20,0.00
0.51,0.44,0.64,1.00,1.00,0.90,0.00
1.00,1.00,0.11,0.13,1.00,0.70,1.00
0.24,0.05,0.07,0.16,0.63,0.44,1.00
0.04,0.21,1.00,1.00,1.00,0.80,1.00
1.00,1.00,0.90,0.29,0.15,0.60,0.00
0.14,0.12,0.24,0.69,1.00,0.43,1.00
0.10,0.06,0.14,0.43,1.00,0.68,1.00
1.00,0.92,0.73,0.91,1.00,0.40,0.00
1.00,0.23,0.27,0.50,1.00,0.60,1.00
1.00,1.00,0.82,0.62,1.00,0.60,0.00
1.00,1.00,0.23,0.11,0.10,0.20,1.00
1.00,0.41,0.27,0.28,0.55,0.50,1.00
1.00,0.21,0.09,0.07,0.13,0.49,1.00
1.00,0.69,0.71,1.00,1.00,0.60,0.00
1.00,0.69,0.23,0.15,0.17,0.50,1.00
0.17,0.02,0.02,0.05,0.27,0.49,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,0.58,0.90,0.00
1.00,0.42,0.35,0.44,1.00,0.50,0.00
0.74,1.00,1.00,1.00,0.92,0.80,0.00
0.42,0.01,0.00,0.00,0.12,0.50,1.00
1.00,1.00,1.00,0.18,0.16,0.50,1.00
0.54,0.21,0.20,0.30,1.00,0.32,1.00
1.00,0.72,1.00,1.00,0.54,0.10,0.00
0.07,0.10,0.26,1.00,1.00,0.46,1.00
0.36,0.95,1.00,1.00,0.57,0.50,0.00
0.98,0.60,0.64,1.00,1.00,0.60,0.00
0.11,0.06,0.12,0.34,1.00,0.47,1.00
1.00,0.84,0.68,0.84,1.00,0.90,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.31,0.11,0.14,0.31,0.40,0.35,1.00
0.58,0.62,1.00,1.00,1.00,0.50,0.00
0.96,0.42,0.39,0.54,1.00,0.50,0.00
0.15,0.06,0.11,0.27,0.57,0.59,1.00
0.74,0.62,0.83,1.00,1.00,0.40,0.00
0.22,1.00,1.00,1.00,1.00,0.40,0.00
0.10,1.00,1.00,1.00,1.00,0.50,0.00
1.00,0.90,0.73,0.90,1.00,0.50,0.00
0.63,1.00,1.00,1.00,1.00,0.50,0.00
0.21,1.00,1.00,1.00,0.71,0.50,0.00
0.27,0.48,1.00,1.00,0.77,0.80,0.00
1.00,1.00,0.35,0.15,0.09,0.50,1.00
1.00,1.00,0.38,0.17,0.12,0.50,1.00
0.38,1.00,1.00,1.00,1.00,0.50,0.00
0.40,0.05,0.04,0.07,0.30,0.50,1.00
0.37,0.43,0.29,0.19,0.21,0.80,1.00
0.36,1.00,1.00,1.00,1.00,0.60,0.00
0.32,0.13,0.16,0.29,1.00,0.79,1.00
0.16,0.06,0.11,0.25,1.00,0.50,1.00
1.00,1.00,1.00,0.89,0.98,0.00,0.00
1.00,1.00,0.94,0.51,0.44,0.10,0.00
1.00,1.00,1.00,1.00,1.00,0.30,0.00
0.04,0.03,0.10,0.37,1.00,0.50,1.00
0.76,0.23,0.20,0.26,0.75,0.50,1.00
1.00,0.48,0.19,0.13,0.17,0.50,1.00
0.96,0.59,0.62,1.00,1.00,0.30,0.00
1.00,0.42,0.34,0.43,1.00,0.50,0.00
1.00,0.72,0.27,0.20,0.25,0.60,1.00
0.17,0.01,0.01,0.03,0.25,0.54,1.00
0.49,1.00,1.00,1.00,1.00,0.60,0.00
1.00,0.80,0.20,0.10,0.07,0.32,1.00
1.00,1.00,0.39,0.15,0.07,0.33,1.00
1.00,1.00,0.46,0.15,0.06,0.46,1.00
1.00,0.81,0.99,1.00,1.00,0.80,0.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.46,1.00,1.00,1.00,1.00,0.30,0.00
1.00,1.00,0.04,0.16,1.00,1.00,1.00
0.90,0.13,0.07,0.07,0.18,0.50,1.00
1.00,0.31,0.14,0.11,0.21,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
0.98,0.60,0.64,1.00,1.00,0.50,0.00
1.00,1.00,0.60,1.00,1.00,0.30,0.00
0.38,0.06,0.05,0.08,0.37,0.43,1.00
0.19,0.07,0.11,1.00,1.00,0.50,1.00
0.24,0.16,0.24,0.56,0.41,0.30,1.00
1.00,1.00,0.21,0.15,0.21,0.20,1.00
1.00,0.29,0.18,0.19,0.39,0.42,1.00
0.31,0.05,0.05,0.10,0.44,0.40,1.00
0.59,0.25,0.24,0.39,1.00,0.45,1.00
0.29,0.03,0.03,0.06,0.32,0.40,1.00
0.63,0.55,0.75,0.86,1.00,0.30,0.00
1.00,0.93,1.00,0.75,0.60,0.50,0.00
0.12,0.06,0.12,0.33,1.00,0.46,1.00
1.00,0.87,0.71,0.88,1.00,0.40,0.00
0.02,0.13,0.53,0.90,0.99,0.67,1.00
0.29,0.81,1.00,1.00,1.00,0.50,0.00
0.65,0.24,0.22,0.33,1.00,0.49,1.00
0.12,0.01,0.05,0.13,1.00,0.70,1.00
1.00,1.00,0.19,0.11,0.14,0.54,1.00
1.00,1.00,1.00,1.00,1.00,0.10,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.12,0.28,1.00,1.00,1.00,0.40,0.00
1.00,0.35,0.22,0.23,0.45,0.44,1.00
1.00,0.54,0.44,0.53,0.83,0.20,0.00
1.00,0.21,0.10,0.07,0.15,0.50,1.00
1.00,0.27,0.11,0.07,0.13,0.50,1.00
0.63,0.31,0.31,0.48,1.00,0.70,0.00
0.30,0.05,0.06,0.12,0.56,0.40,1.00
1.00,1.00,0.39,0.16,0.09,0.38,1.00
1.00,1.00,1.00,1.00,0.31,0.50,0.00
0.08,0.11,0.28,1.00,1.00,0.55,1.00
1.00,1.00,1.00,1.00,0.38,0.50,0.00
0.27,0.22,0.25,0.48,0.36,0.41,1.00
1.00,0.87,0.70,0.88,1.00,0.50,0.00
0.09,0.07,0.20,1.00,1.00,0.35,1.00
1.00,0.86,0.70,0.88,1.00,0.70,0.00
0.95,1.00,1.00,0.29,0.09,0.50,0.00
1.00,0.21,0.23,0.41,1.00,0.73,1.00
0.94,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,0.16,0.07,0.50,1.00
0.05,0.03,0.11,0.36,1.00,0.50,1.00
0.16,0.13,0.26,0.79,1.00,0.57,1.00
1.00,0.35,0.60,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.20,0.00
0.39,0.36,0.56,1.00,1.00,0.30,0.00
1.00,1.00,0.81,1.00,1.00,0.50,0.00
0.80,1.00,1.00,0.45,0.83,0.50,0.00
1.00,0.46,0.27,0.26,0.46,0.67,1.00
0.27,0.01,0.02,0.04,0.28,0.46,1.00
1.00,0.49,1.00,1.00,1.00,0.40,0.00
0.13,0.09,0.14,0.31,1.00,0.58,1.00
0.16,0.06,0.10,0.24,1.00,0.46,1.00
0.40,0.31,0.44,1.00,1.00,0.40,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.44,0.20,0.13,0.70,0.00
1.00,0.17,0.07,0.05,0.12,0.50,1.00
0.64,0.29,0.28,0.43,1.00,0.50,1.00
1.00,1.00,0.38,0.17,0.12,0.50,1.00
0.09,0.05,0.14,0.40,1.00,0.59,1.00
0.57,1.00,1.00,1.00,1.00,0.30,0.00
1.00,1.00,1.00,1.00,0.87,0.80,0.00
1.00,1.00,0.27,0.09,0.03,0.50,1.00
0.54,0.56,0.92,1.00,1.00,0.60,0.00
1.00,0.66,0.70,1.00,1.00,0.50,0.00
0.30,0.03,0.03,0.06,0.32,0.46,1.00
1.00,0.39,0.15,0.10,0.14,0.50,1.00
1.00,1.00,0.82,0.99,1.00,0.50,0.00
0.10,0.07,0.16,0.45,1.00,0.68,1.00
0.65,1.00,1.00,0.61,0.32,0.50,0.00
1.00,0.57,0.20,0.14,0.17,0.50,1.00
1.00,1.00,0.68,0.38,0.33,0.40,0.00
1.00,1.00,1.00,1.00,0.53,0.50,0.00
0.10,0.03,0.10,0.28,1.00,0.58,1.00
0.12,0.05,0.11,0.30,1.00,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.59,0.74,1.00,0.50,0.00
0.12,0.11,0.22,0.70,1.00,0.43,1.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
0.90,0.79,0.67,0.76,1.00,0.20,0.00
0.38,0.16,0.18,0.31,1.00,0.40,1.00
1.00,0.84,0.68,0.84,1.00,0.20,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.41,0.18,0.12,0.53,1.00
1.00,0.64,0.50,0.61,1.00,0.50,0.00
1.00,0.35,0.13,0.07,0.11,0.30,1.00
0.31,0.87,1.00,1.00,1.00,0.50,0.00
0.36,0.02,0.01,0.03,0.21,0.45,1.00
1.00,0.24,0.26,0.46,1.00,0.57,1.00
0.62,0.74,1.00,1.00,1.00,0.40,0.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
1.00,0.85,0.69,0.85,1.00,0.60,0.00
1.00,1.00,1.00,0.82,0.85,0.90,0.00
1.00,1.00,1.00,1.00,1.00,0.70,0.00
1.00,1.00,1.00,1.00,1.00,0.40,0.00
1.00,0.13,0.22,0.71,1.00,0.45,1.00
0.76,0.23,0.20,0.26,0.76,0.61,1.00
0.71,0.35,0.35,0.53,1.00,0.90,0.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
1.00,0.62,0.60,0.90,1.00,0.50,0.00
0.75,0.24,0.21,0.28,0.79,0.50,1.00
1.00,1.00,1.00,0.92,1.00,0.40,0.00
1.00,0.43,0.29,0.31,0.63,0.50,1.00
1.00,0.26,0.14,0.14,0.29,0.50,1.00
1.00,1.00,0.33,0.17,0.14,0.63,1.00
0.99,0.08,0.03,0.02,0.10,0.50,1.00
0.37,0.31,0.21,0.16,0.27,0.67,1.00
0.09,0.06,0.15,0.46,1.00,0.68,1.00
0.54,1.00,1.00,1.00,0.40,0.40,0.00
0.07,0.14,0.40,1.00,1.00,0.10,0.00
0.53,1.00,1.00,0.89,1.00,0.60,0.00
1.00,1.00,0.68,0.70,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.70,0.00
0.10,0.13,0.31,1.00,1.00,0.70,1.00
1.00,0.96,0.81,1.00,0.66,0.40,0.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
1.00,1.00,0.47,0.13,0.03,0.51,1.00
1.00,0.12,0.23,0.66,1.00,0.40,1.00
0.14,0.12,0.23,0.58,1.00,0.50,1.00
1.00,0.66,0.52,0.62,1.00,0.60,0.00
1.00,1.00,0.95,1.00,1.00,0.60,0.00
1.00,1.00,1.00,0.64,1.00,0.40,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.49,0.46,0.70,0.50,0.00
0.46,0.57,1.00,1.00,0.80,0.90,0.00
0.28,0.05,0.06,0.13,0.62,0.40,1.00
1.00,0.25,0.27,0.44,1.00,0.70,1.00
1.00,1.00,1.00,1.00,1.00,0.90,0.00
0.63,1.00,1.00,0.74,1.00,0.50,0.00
0.14,0.15,0.36,0.57,0.92,0.59,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,0.58,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.85,0.96,1.00,1.00,1.00,0.50,0.00
0.72,0.38,0.39,1.00,1.00,0.30,0.00
1.00,1.00,1.00,0.16,0.65,0.50,1.00
1.00,1.00,0.76,0.79,0.98,0.40,0.00
0.37,1.00,1.00,0.92,0.57,0.30,0.00
1.00,1.00,0.39,0.15,0.07,0.30,1.00
1.00,1.00,1.00,0.93,0.64,0.10,0.00
1.00,0.85,0.69,0.85,1.00,0.30,0.00
1.00,1.00,1.00,1.00,1.00,0.20,0.00
0.14,0.11,0.22,0.56,1.00,0.53,1.00
0.34,0.06,0.06,0.11,0.48,0.40,1.00
0.94,1.00,1.00,1.00,1.00,0.50,0.00
0.35,0.05,0.05,0.08,0.37,0.45,1.00
0.79,1.00,1.00,0.46,0.14,0.50,0.00
0.88,1.00,1.00,1.00,1.00,0.60,0.00
1.00,0.69,0.56,0.70,1.00,0.60,0.00
1.00,0.92,0.74,1.00,1.00,0.50,0.00
1.00,1.00,0.85,0.65,0.77,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.10,0.06,0.15,0.43,1.00,0.70,1.00
1.00,1.00,0.79,0.47,0.44,0.60,0.00
0.60,1.00,1.00,0.86,0.39,0.30,0.00
1.00,0.85,0.21,0.10,0.08,0.27,1.00
1.00,1.00,1.00,0.42,0.43,0.50,0.00
0.14,0.12,0.25,0.81,1.00,0.80,1.00
0.29,0.27,0.47,1.00,1.00,0.60,0.00
1.00,0.72,0.59,0.73,1.00,0.20,0.00
0.62,0.68,1.00,1.00,0.70,0.20,0.00
1.00,0.98,1.00,1.00,0.48,0.50,0.00
0.96,1.00,1.00,1.00,1.00,0.60,0.00
1.00,0.96,0.05,0.16,1.00,0.93,1.00
0.55,0.92,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,0.18,0.06,0.36,1.00
1.00,1.00,1.00,1.00,1.00,0.70,0.00
1.00,0.86,0.69,0.86,1.00,0.70,0.00
0.32,0.04,0.04,0.07,0.35,0.50,1.00
1.00,1.00,1.00,1.00,1.00,0.30,0.00
1.00,0.53,0.52,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.07,0.14,0.44,1.00,1.00,0.43,1.00
1.00,0.55,0.26,0.21,0.32,0.50,1.00
0.36,0.16,0.19,0.33,1.00,0.71,1.00
1.00,1.00,1.00,1.00,1.00,0.70,0.00
0.45,0.59,1.00,1.00,1.00,0.30,0.00
0.18,0.15,0.27,0.78,1.00,0.44,1.00
0.49,0.02,0.01,0.00,0.12,0.50,1.00
1.00,0.50,0.27,0.24,0.41,0.61,1.00
0.16,0.01,0.01,0.03,0.24,0.54,1.00
1.00,1.00,0.52,0.17,0.07,0.90,0.00
0.29,0.05,0.05,0.10,0.46,0.40,1.00
1.00,0.87,0.71,0.88,1.00,0.20,0.00
1.00,1.00,1.00,1.00,1.00,0.80,0.00
1.00,1.00,0.84,0.88,1.00,0.80,0.00
1.00,0.21,0.25,0.45,1.00,0.85,1.00
0.64,1.00,1.00,1.00,1.00,0.70,0.00
1.00,1.00,0.23,0.12,0.11,0.59,1.00
0.34,0.04,0.04,0.07,0.34,0.50,1.00
0.81,0.40,1.00,1.00,1.00,0.30,0.00
1.00,0.90,0.73,1.00,1.00,0.70,0.00
0.58,0.21,0.20,0.29,0.95,0.34,1.00
1.00,1.00,1.00,1.00,0.93,0.20,0.00
0.12,0.11,0.23,0.74,1.00,0.56,1.00
1.00,1.00,0.34,0.43,1.00,0.60,0.00
0.00,0.11,0.50,1.00,1.00,0.40,1.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
0.39,0.17,0.19,0.32,1.00,0.30,1.00
1.00,1.00,0.47,0.13,0.04,0.43,1.00
1.00,1.00,0.85,0.56,0.57,0.60,0.00
1.00,1.00,1.00,0.21,0.05,0.42,1.00
1.00,1.00,1.00,1.00,1.00,0.80,0.00
0.55,0.99,1.00,1.00,0.97,0.40,0.00
1.00,0.98,0.26,0.10,0.05,0.62,1.00
0.40,0.18,0.19,0.33,1.00,0.31,1.00
0.15,0.06,0.11,0.28,0.56,0.58,1.00
1.00,0.64,0.66,1.00,1.00,0.50,0.00
1.00,0.96,1.00,1.00,1.00,0.20,0.00
0.33,0.03,0.03,0.06,0.31,0.43,1.00
0.33,0.04,0.04,0.07,0.37,0.40,1.00
1.00,1.00,1.00,0.15,0.02,0.46,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
1.00,1.00,0.21,0.09,0.05,0.51,1.00
0.86,0.46,0.46,0.72,1.00,0.50,0.00
1.00,1.00,1.00,0.92,0.34,0.50,0.00
0.02,0.09,0.38,1.00,1.00,0.53,1.00
0.06,0.17,0.60,0.90,0.99,0.75,1.00
1.00,1.00,1.00,0.18,0.15,0.48,1.00
1.00,0.58,0.61,1.00,1.00,1.00,0.00
1.00,0.38,0.22,0.21,0.40,0.47,1.00
0.82,1.00,1.00,1.00,1.00,0.10,0.00
0.42,0.93,1.00,1.00,1.00,0.50,0.00
1.00,1.00,1.00,1.00,1.00,1.00,0.00
0.10,0.13,0.31,1.00,1.00,0.70,1.00
1.00,1.00,1.00,1.00,1.00,0.60,0.00
1.00,1.00,0.42,0.18,0.12,0.55,1.00
0.16,0.05,0.10,0.23,1.00,0.47,1.00
1.00,1.00,1.00,1.00,1.00,0.50,0.00
0.11,0.16,0.40,1.00,1.00,0.50,1.00
1.00,1.00,1.00,0.37,0.12,0.70,0.00
1.00,1.00,0.45,0.14,0.06,0.45,1.00
0.79,0.92,1.00,1.00,1.00,1.00,0.00
